party,year,emissions_gt
Ireland,1994,0.05859362412214629
Ireland,1995,0.060080657710709896
Ireland,1996,0.06224516813145973
Ireland,1997,0.06368361577143689
Ireland,1998,0.06629245599229093
Ireland,1999,0.06752340874173564
Ireland,2000,0.06971238242934792
Ireland,2001,0.0718144543098089
Ireland,2002,0.06997520042390282
Ireland,2003,0.07046849743623965
Ireland,2004,0.06972302346783421
Ireland,2005,0.07153147891096479
Ireland,2006,0.07101946340070855
Ireland,2007,0.06987486699083126
Ireland,2008,0.06933043544975463
Ireland,2009,0.06352825857328334
Ireland,2010,0.06303216198707896
Ireland,2011,0.058852525709081505
Ireland,2012,0.05993950723250403
Ireland,2013,0.05971160657991649
Ireland,2014,0.05922074208123953
Ireland,2015,0.061724028312110886
Ireland,2016,0.06400535717011129
Ireland,2017,0.063424534744706
Ireland,2018,0.063734108308296
Ireland,2019,0.061165038621593906
Ireland,2020,0.0590563005943482
Ireland,2021,0.06210986923806549
Italy,1990,0.5214803376602325
Italy,1991,0.5226966663317838
Italy,1992,0.5219913479592586
Italy,1993,0.5151599649306131
Italy,1994,0.5093713878546212
Italy,1995,0.5356537085150072
Italy,1996,0.530375912969233
Italy,1997,0.5381113679932973
Italy,1998,0.5505859913465071
Italy,1999,0.5561403785809748
Italy,2000,0.559978141724162
Italy,2001,0.5618399539627755
Italy,2002,0.5677530807842279
Italy,2003,0.5872478885906676
Italy,2004,0.5929034234941524
Italy,2005,0.5941973806370043
Italy,2006,0.5840530719655683
Italy,2007,0.5788144759464087
Italy,2008,0.5662429713549032
Italy,2009,0.5116549935056384
Italy,2010,0.5234656995954835
Italy,2011,0.5108546122946139
Italy,2012,0.49194991287324663
Italy,2013,0.4564757243060313
Italy,2014,0.4353993323112861
Italy,2015,0.44573565047548397
Italy,2016,0.44296227788443465
Italy,2017,0.43734097889997836
Italy,2018,0.43363090691174877
Italy,2019,0.42227617298835407
Italy,2020,0.3849698768889378
Italy,2021,0.4175914335986011
Japan,1990,1.2693340277935523
Japan,1991,1.2837962941880254
Japan,1992,1.2956120203380186
Japan,1993,1.2913921393465406
Japan,1994,1.3524297605521785
Japan,1995,1.3738182536209318
Japan,1996,1.3867476028350396
Japan,1997,1.3788102378583307
Japan,1998,1.330304186558524
Japan,1999,1.3536624034976357
Japan,2000,1.3733034195443359
Japan,2001,1.347561425447126
Japan,2002,1.3716138772792483
Japan,2003,1.3784520318559639
Japan,2004,1.369829300143581
Japan,2005,1.3774638762485654
Japan,2006,1.3560802467625568
Japan,2007,1.3913002596107418
Japan,2008,1.318507415320218
Japan,2009,1.2465496220512757
Japan,2010,1.3000467478132924
Japan,2011,1.3507411359555983
Japan,2012,1.3935941563813652
Japan,2013,1.4053504238756394
Japan,2014,1.3565110219224756
Japan,2015,1.3178361955129585
Japan,2016,1.3001467732284695
Japan,2017,1.286736263168755
Japan,2018,1.2427157071336759
Japan,2019,1.207742416489948
Japan,2020,1.1449324969955172
Japan,2021,1.1680944654751866
Kazakhstan,1990,0.3866827901058637
Kazakhstan,1991,0.3745359769265712
Kazakhstan,1992,0.3516636849581223
Kazakhstan,1993,0.318608870353116
Kazakhstan,1994,0.27334282025725004
Kazakhstan,1995,0.2605676930868087
Kazakhstan,1996,0.24787300772239365
Kazakhstan,1997,0.24436763909910128
Kazakhstan,1998,0.2529750429470108
Kazakhstan,1999,0.22466118113247616
Kazakhstan,2000,0.2604341235566549
Kazakhstan,2001,0.2473865071535226
Kazakhstan,2002,0.2639953710842155
Kazakhstan,2003,0.2780295220314027
Kazakhstan,2004,0.2829227734308322
Kazakhstan,2005,0.2874663916136871
Kazakhstan,2006,0.30169478803067046
Kazakhstan,2007,0.30387367772092455
Kazakhstan,2008,0.30070791730026675
Kazakhstan,2009,0.29488925849935654
Kazakhstan,2010,0.3158555060059266
Kazakhstan,2011,0.3061122693871929
Kazakhstan,2012,0.3116855655014733
Kazakhstan,2013,0.3208695383746923
Kazakhstan,2014,0.342321121681425
Kazakhstan,2015,0.34682710852182036
Kazakhstan,2016,0.34678734411029283
Kazakhstan,2017,0.3666567977565419
Kazakhstan,2018,0.3838365654900617
Kazakhstan,2019,0.352690653615004
Kazakhstan,2020,0.3339709616971519
Kazakhstan,2021,0.3381233577799198
Latvia,1990,0.0260227043960204
Latvia,1991,0.024132741936183696
Latvia,1992,0.019362024800664214
Latvia,1993,0.01590534812862289
Latvia,1994,0.013958296295764273
Latvia,1995,0.012589831865927823
Latvia,1996,0.012639333679928295
Latvia,1997,0.012080471450513858
Latvia,1998,0.011576365290925672
Latvia,1999,0.010790397956794071
Latvia,2000,0.010167782099937045
Latvia,2001,0.010760025182398391
Latvia,2002,0.010727985608653052
Latvia,2003,0.010921156978836133
Latvia,2004,0.010862712200253758
Latvia,2005,0.011020373906919791
